00:00:06.480,00:00:08.520,00:00:11.120,00:00:12.680,00:00:14.440,00:00:18.320,00:00:24.520,00:00:35.320,00:00:37.880,00:00:40.720,00:00:45.760,00:00:51.080,00:00:56.760,00:01:05.800,00:01:10.000,00:01:13.720,00:01:17.200,00:01:27.400,00:01:34.200,00:01:37.280,00:01:39.000,00:01:43.800,00:01:49.200,00:01:54.600,00:01:59.000,00:02:02.640,00:02:07.240,00:02:23.240,00:02:27.520,00:02:31.720,00:02:36.320,00:02:56.680,00:02:58.920,00:03:14.040,00:03:29.640,00:03:34.800,00:03:42.600,00:03:57.240,00:04:01.080,00:04:04.760,00:04:10.240,00:04:12.840,00:04:16.520,00:04:20.480,00:04:33.800,00:04:37.800,00:04:39.800,00:04:45.640,00:04:48.280,00:04:50.680,00:04:52.520,00:04:59.160,00:05:03.800,00:05:08.560,00:05:12.240,00:05:13.760,00:05:17.320,00:05:22.320,00:05:27.360,00:05:31.720,00:05:36.320,00:05:47.200,00:05:48.920,00:05:52.280,00:05:53.560,00:05:54.520,00:05:56.440,00:05:58.680,00:06:01.600,00:06:04.800,00:06:11.400,00:06:15.400,00:06:20.000,00:06:23.520,00:06:24.480,00:06:26.120,00:06:28.080,00:06:29.160,00:06:30.840,00:06:37.120,00:06:41.400,00:06:45.720,00:06:50.320,00:07:03.000,00:07:25.080
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,162,00:00:06.480,6.480,162,00:00:06.480,6.480
2,163,00:00:06.480,6.480,213,00:00:08.520,8.520,51,00:00:02.040,2.040
3,214,00:00:08.520,8.520,278,00:00:11.120,11.120,65,00:00:02.600,2.600
4,279,00:00:11.120,11.120,317,00:00:12.680,12.680,39,00:00:01.560,1.560
5,318,00:00:12.680,12.680,361,00:00:14.440,14.440,44,00:00:01.760,1.760
6,362,00:00:14.440,14.440,458,00:00:18.320,18.320,97,00:00:03.880,3.880
7,459,00:00:18.320,18.320,613,00:00:24.520,24.520,155,00:00:06.200,6.200
8,614,00:00:24.520,24.520,883,00:00:35.320,35.320,270,00:00:10.800,10.800
9,884,00:00:35.320,35.320,947,00:00:37.880,37.880,64,00:00:02.560,2.560
10,948,00:00:37.880,37.880,1018,00:00:40.720,40.720,71,00:00:02.840,2.840
11,1019,00:00:40.720,40.720,1144,00:00:45.760,45.760,126,00:00:05.040,5.040
12,1145,00:00:45.760,45.760,1277,00:00:51.080,51.080,133,00:00:05.320,5.320
13,1278,00:00:51.080,51.080,1419,00:00:56.760,56.760,142,00:00:05.680,5.680
14,1420,00:00:56.760,56.760,1645,00:01:05.800,65.800,226,00:00:09.040,9.040
15,1646,00:01:05.800,65.800,1750,00:01:10.000,70.000,105,00:00:04.200,4.200
16,1751,00:01:10.000,70.000,1843,00:01:13.720,73.720,93,00:00:03.720,3.720
17,1844,00:01:13.720,73.720,1930,00:01:17.200,77.200,87,00:00:03.480,3.480
18,1931,00:01:17.200,77.200,2185,00:01:27.400,87.400,255,00:00:10.200,10.200
19,2186,00:01:27.400,87.400,2355,00:01:34.200,94.200,170,00:00:06.800,6.800
20,2356,00:01:34.200,94.200,2432,00:01:37.280,97.280,77,00:00:03.080,3.080
21,2433,00:01:37.280,97.280,2475,00:01:39.000,99.000,43,00:00:01.720,1.720
22,2476,00:01:39.000,99.000,2595,00:01:43.800,103.800,120,00:00:04.800,4.800
23,2596,00:01:43.800,103.800,2730,00:01:49.200,109.200,135,00:00:05.400,5.400
24,2731,00:01:49.200,109.200,2865,00:01:54.600,114.600,135,00:00:05.400,5.400
25,2866,00:01:54.600,114.600,2975,00:01:59.000,119.000,110,00:00:04.400,4.400
26,2976,00:01:59.000,119.000,3066,00:02:02.640,122.640,91,00:00:03.640,3.640
27,3067,00:02:02.640,122.640,3181,00:02:07.240,127.240,115,00:00:04.600,4.600
28,3182,00:02:07.240,127.240,3581,00:02:23.240,143.240,400,00:00:16.000,16.000
29,3582,00:02:23.240,143.240,3688,00:02:27.520,147.520,107,00:00:04.280,4.280
30,3689,00:02:27.520,147.520,3793,00:02:31.720,151.720,105,00:00:04.200,4.200
31,3794,00:02:31.720,151.720,3908,00:02:36.320,156.320,115,00:00:04.600,4.600
32,3909,00:02:36.320,156.320,4417,00:02:56.680,176.680,509,00:00:20.360,20.360
33,4418,00:02:56.680,176.680,4473,00:02:58.920,178.920,56,00:00:02.240,2.240
34,4474,00:02:58.920,178.920,4851,00:03:14.040,194.040,378,00:00:15.120,15.120
35,4852,00:03:14.040,194.040,5241,00:03:29.640,209.640,390,00:00:15.600,15.600
36,5242,00:03:29.640,209.640,5370,00:03:34.800,214.800,129,00:00:05.160,5.160
37,5371,00:03:34.800,214.800,5565,00:03:42.600,222.600,195,00:00:07.800,7.800
38,5566,00:03:42.600,222.600,5931,00:03:57.240,237.240,366,00:00:14.640,14.640
39,5932,00:03:57.240,237.240,6027,00:04:01.080,241.080,96,00:00:03.840,3.840
40,6028,00:04:01.080,241.080,6119,00:04:04.760,244.760,92,00:00:03.680,3.680
41,6120,00:04:04.760,244.760,6256,00:04:10.240,250.240,137,00:00:05.480,5.480
42,6257,00:04:10.240,250.240,6321,00:04:12.840,252.840,65,00:00:02.600,2.600
43,6322,00:04:12.840,252.840,6413,00:04:16.520,256.520,92,00:00:03.680,3.680
44,6414,00:04:16.520,256.520,6512,00:04:20.480,260.480,99,00:00:03.960,3.960
45,6513,00:04:20.480,260.480,6845,00:04:33.800,273.800,333,00:00:13.320,13.320
46,6846,00:04:33.800,273.800,6945,00:04:37.800,277.800,100,00:00:04.000,4.000
47,6946,00:04:37.800,277.800,6995,00:04:39.800,279.800,50,00:00:02.000,2.000
48,6996,00:04:39.800,279.800,7141,00:04:45.640,285.640,146,00:00:05.840,5.840
49,7142,00:04:45.640,285.640,7207,00:04:48.280,288.280,66,00:00:02.640,2.640
50,7208,00:04:48.280,288.280,7267,00:04:50.680,290.680,60,00:00:02.400,2.400
51,7268,00:04:50.680,290.680,7313,00:04:52.520,292.520,46,00:00:01.840,1.840
52,7314,00:04:52.520,292.520,7479,00:04:59.160,299.160,166,00:00:06.640,6.640
53,7480,00:04:59.160,299.160,7595,00:05:03.800,303.800,116,00:00:04.640,4.640
54,7596,00:05:03.800,303.800,7714,00:05:08.560,308.560,119,00:00:04.760,4.760
55,7715,00:05:08.560,308.560,7806,00:05:12.240,312.240,92,00:00:03.680,3.680
56,7807,00:05:12.240,312.240,7844,00:05:13.760,313.760,38,00:00:01.520,1.520
57,7845,00:05:13.760,313.760,7933,00:05:17.320,317.320,89,00:00:03.560,3.560
58,7934,00:05:17.320,317.320,8058,00:05:22.320,322.320,125,00:00:05.000,5.000
59,8059,00:05:22.320,322.320,8184,00:05:27.360,327.360,126,00:00:05.040,5.040
60,8185,00:05:27.360,327.360,8293,00:05:31.720,331.720,109,00:00:04.360,4.360
61,8294,00:05:31.720,331.720,8408,00:05:36.320,336.320,115,00:00:04.600,4.600
62,8409,00:05:36.320,336.320,8680,00:05:47.200,347.200,272,00:00:10.880,10.880
63,8681,00:05:47.200,347.200,8723,00:05:48.920,348.920,43,00:00:01.720,1.720
64,8724,00:05:48.920,348.920,8807,00:05:52.280,352.280,84,00:00:03.360,3.360
65,8808,00:05:52.280,352.280,8839,00:05:53.560,353.560,32,00:00:01.280,1.280
66,8840,00:05:53.560,353.560,8863,00:05:54.520,354.520,24,00:00:00.960,0.960
67,8864,00:05:54.520,354.520,8911,00:05:56.440,356.440,48,00:00:01.920,1.920
68,8912,00:05:56.440,356.440,8967,00:05:58.680,358.680,56,00:00:02.240,2.240
69,8968,00:05:58.680,358.680,9040,00:06:01.600,361.600,73,00:00:02.920,2.920
70,9041,00:06:01.600,361.600,9120,00:06:04.800,364.800,80,00:00:03.200,3.200
71,9121,00:06:04.800,364.800,9285,00:06:11.400,371.400,165,00:00:06.600,6.600
72,9286,00:06:11.400,371.400,9385,00:06:15.400,375.400,100,00:00:04.000,4.000
73,9386,00:06:15.400,375.400,9500,00:06:20.000,380.000,115,00:00:04.600,4.600
74,9501,00:06:20.000,380.000,9588,00:06:23.520,383.520,88,00:00:03.520,3.520
75,9589,00:06:23.520,383.520,9612,00:06:24.480,384.480,24,00:00:00.960,0.960
76,9613,00:06:24.480,384.480,9653,00:06:26.120,386.120,41,00:00:01.640,1.640
77,9654,00:06:26.120,386.120,9702,00:06:28.080,388.080,49,00:00:01.960,1.960
78,9703,00:06:28.080,388.080,9729,00:06:29.160,389.160,27,00:00:01.080,1.080
79,9730,00:06:29.160,389.160,9771,00:06:30.840,390.840,42,00:00:01.680,1.680
80,9772,00:06:30.840,390.840,9928,00:06:37.120,397.120,157,00:00:06.280,6.280
81,9929,00:06:37.120,397.120,10035,00:06:41.400,401.400,107,00:00:04.280,4.280
82,10036,00:06:41.400,401.400,10143,00:06:45.720,405.720,108,00:00:04.320,4.320
83,10144,00:06:45.720,405.720,10258,00:06:50.320,410.320,115,00:00:04.600,4.600
84,10259,00:06:50.320,410.320,10575,00:07:03.000,423.000,317,00:00:12.680,12.680
85,10576,00:07:03.000,423.000,11127,00:07:25.080,445.080,552,00:00:22.080,22.080
86,11128,00:07:25.080,445.080,11388,00:07:35.520,455.520,261,00:00:10.440,10.440
